game time,home team,home score,away team,away score
"Thursday, October 12, 2023",Chiefs,19,Broncos,8
"Sunday, October 15, 2023",Titans,16,Ravens,24
"Sunday, October 15, 2023",Falcons,16,Commanders,24
"Sunday, October 15, 2023",Bears,13,Vikings,19
"Sunday, October 15, 2023",Bengals,17,Seahawks,13
"Sunday, October 15, 2023",Browns,19,49ers,17
"Sunday, October 15, 2023",Dolphins,42,Panthers,21
"Sunday, October 15, 2023",Jaguars,37,Colts,20
"Sunday, October 15, 2023",Texans,20,Saints,13
"Sunday, October 15, 2023",Raiders,21,Patriots,17
"Sunday, October 15, 2023",Rams,26,Cardinals,9
"Sunday, October 15, 2023",Jets,20,Eagles,14
"Sunday, October 15, 2023",Buccaneers,6,Lions,20
"Sunday, October 15, 2023",Bills,14,Giants,9
"Monday, October 16, 2023",Chargers,17,Cowboys,20
